"Row ID","Series","Episode","Combined episode","Episode name","Start","End","Scene ID","Who","Cooper As","Where","Episode Length","Total length","Corrected start","Corrected end","Circumstances"
"id001","1","1","S01E01","Northwest Passage","12:04:40 AM","12:04:59 AM","id001","Sheriff Harry Truman","","Twin Peaks Police Station","1:30:06","1:30:06","0:04:40","0:04:59","Lucy tells Harry that Laura Palmer was killed."
"id002","1","1","S01E01","Northwest Passage","12:14:57 AM","12:15:25 AM","id002","Bobby Briggs","","RR","1:30:06","1:30:06","0:14:57","0:15:25","Bobby flirting with Shelly at the RR."
"id003","1","1","S01E01","Northwest Passage","12:50:33 AM","12:51:23 AM","id003","Audrey Horne","","Great Northern","1:30:06","1:30:06","0:50:33","0:51:23","Audrey is screwing a pencil into a takeaway cup and pulls it out, so the coffee pours onto the concierge's desk."
"id004","1","1","S01E01","Northwest Passage","0:59:16","1:00:06","id004","Audrey Horne","","Horne residency","1:30:06","1:30:06","0:59:16","1:00:06","Johnny Horne banging his head into a doll house because he got to know Laura is not coming over to tutor him."
"id005","1","1","S01E01","Northwest Passage","0:59:16","1:00:06","id004","Sylvia Horne","","Horne residency","1:30:06","1:30:06","0:59:16","1:00:06","Johnny Horne banging his head into a doll house because he got to know Laura is not coming over to tutor him."
"id006","1","1","S01E01","Northwest Passage","1:13:48","1:13:53","id005","Sheriff Harry Truman","","Roadhouse","1:30:06","1:30:06","1:13:48","1:13:53","Harry and Cooper following Bobby and Mike to the Roadhouse in a police car."
"id007","1","1","S01E01","Northwest Passage","1:25:37","1:26:54","id006","Sheriff Harry Truman","","Twin Peaks Police Station","1:30:06","1:30:06","1:25:37","1:26:54","Harry and Cooper having donuts at the police station."
"id008","1","1","S01E01","Northwest Passage","1:25:37","1:26:50","id006","FBI Special Agent Dale Cooper","","Twin Peaks Police Station","1:30:06","1:30:06","1:25:37","1:26:50","Harry and Cooper having donuts at the police station."
"id009","1","2","S01E02","Traces to Nowhere","0:04:48","0:06:52","id007","FBI Special Agent Dale Cooper","","Great Northern","0:45:47","2:15:53","1:34:54","1:36:58","Special Agent Cooper having breakfast at the Great Northern and meets Audrey the first time."
"id010","1","2","S01E02","Traces to Nowhere","0:06:57","0:07:02","id008","Deputy Andy Brennan","","Twin Peaks Police Station","0:45:47","2:15:53","1:37:03","1:37:08","Andy drinking his morning coffee at the police station."
"id011","1","2","S01E02","Traces to Nowhere","0:07:03","0:07:12","id009","Lucy Moran","","Twin Peaks Police Station","0:45:47","2:15:53","1:37:09","1:37:18","Lucy drinking her morning coffee at the police station."
"id012","1","2","S01E02","Traces to Nowhere","0:07:17","0:07:57","id010","Sheriff Harry Truman","","Twin Peaks Police Station","0:45:47","2:15:53","1:37:23","1:38:03","Harry drinking his morning coffee at the police station."
